Price,Response,Value,BBU,BBL,SMA
0.953,,11742.781110005859,1.0041894732217185,0.9466905267782811,0.9754399999999999
0.9554,,11688.81386863963,1.001533115808661,0.9451768841913389,0.973355
0.9551,,11718.250545748484,0.9984387080327015,0.9441612919672986,0.9713
0.9584,,11714.570961109875,0.9950096139839864,0.9440303860160135,0.9695199999999999
0.96,,11755.046392134547,0.9911352530611642,0.944604746938836,0.9678700000000001
0.9668,,11774.670843540447,0.9874551135107017,0.9459448864892983,0.9667
0.97,,11858.074762015525,0.9853531970391161,0.9467168029608839,0.966035
0.9678,,11897.323664827327,0.9818608142157125,0.9483291857842876,0.965095
0.9714,,11870.340044144214,0.9793660180405958,0.949663981959404,0.9645149999999999
0.9741,,11914.49505980749,0.97796942678231,0.9504705732176897,0.9642199999999999
0.9723,,11947.611321554947,0.9782689505818997,0.9503610494181,0.9643149999999998
0.9745,,11925.53381372331,0.9784263183461962,0.9502836816538037,0.964355
0.9734,,11952.517434406423,0.9788231339333177,0.9501268660666823,0.964475
0.97,,11939.025624064867,0.9792843341374636,0.9501656658625363,0.9647249999999999
0.98,,11897.323664827327,0.9812541114265466,0.9492758885734532,0.9652649999999999
0.9762,,12019.976486114207,0.9824025998606584,0.9489974001393416,0.9657
0.9655,,11973.368414025192,0.9824870240708081,0.9492429759291918,0.965865
0.9649,,11842.129895248232,0.9825339466960281,0.9495760533039721,0.9660550000000001
0.966,,11834.770725971019,0.9822325073801264,0.9509874926198736,0.96661
0.965,,11848.262536312575,0.982028042985778,0.9519519570142221,0.96699
0.9681,,11835.997254183887,0.9812652732765904,0.9542247267234097,0.9677450000000001
0.9662,,11874.01962878282,0.9805319802937619,0.9560380197062383,0.9682850000000001
0.9644,,11850.715592738312,0.9795043871096992,0.9579956128903008,0.96875
0.9633,,11828.638084906675,0.9789501573515809,0.959039842648419,0.9689949999999999
0.9652,,11815.146274565119,0.9784647145506937,0.960045285449306,0.9692549999999999
0.9604,,11838.450310609624,0.978916303574816,0.9589536964251842,0.9689350000000001
0.9513,,11779.576956391924,0.9806956270963045,0.9553043729036954,0.968
0.9586,,11667.962889020862,0.9809146657607032,0.9541653342392967,0.96754
0.9586,,11757.499448560284,0.9807147137425818,0.9530852862574184,0.9669000000000001
0.9598,,11757.499448560284,0.97991062336807,0.9524593766319299,0.966185
0.9536,,11772.21778711471,0.9797476949165975,0.9507523050834024,0.9652499999999999
0.96,,11696.173037916844,0.9785164071373901,0.9505335928626101,0.9645250000000001
0.9608,,11774.670843540447,0.9773273215848152,0.9504626784151847,0.963895
0.9526,,11784.483069243397,0.9770340008659846,0.9490159991340155,0.963025
0.947,,11683.907755788157,0.9747237432879812,0.9480262567120188,0.961375
0.9403,,11615.222175867504,0.9741353896691588,0.9450246103308414,0.9595800000000001
0.949,,11533.044785605294,0.9737610303667699,0.9437489696332302,0.958755
0.9458,,11639.752740124879,0.973570992693116,0.942029007306884,0.9578
0.94,,11600.503837313077,0.973650970511131,0.9393490294888688,0.9564999999999999
0.93,,11529.365200966688,0.975094351343283,0.9344056486567169,0.95475
0.921,,11406.71237967981,0.9767429578739487,0.928047042126051,0.9523949999999999
0.9214,,11296.324840521618,0.9772442074061745,0.9230657925938255,0.950155
0.9264,,11301.230953373091,0.9764455153889519,0.9200644846110481,0.948255
