gen,evals,dataset_i,avg,std,min,max
187,91,2,[  1.42155849 437.02507341],[  0.99065654 449.27805735],[ 0.19170518 10.10125257],[   3.75650153 3729.78279517]
188,96,2,[  1.62973439 482.83386396],[  1.08532981 570.48129053],[ 0.19170518 10.10125257],[   3.75650153 3729.78279517]
189,99,2,[  1.7984148  508.04272376],[  1.08316822 646.08800683],[ 0.19170518 10.10125257],[   3.75650153 3729.78279517]
190,97,2,[  2.00627571 464.09343932],[  1.12109911 637.99569122],[ 0.19170518 21.54498223],[   3.75650153 3729.78279517]
191,96,2,[  2.27285718 406.22895397],[  1.04574387 665.42729947],[0.75311566 3.13298935],[   4.57302767 3729.78279517]
192,98,2,[  2.16974556 513.09674942],[  1.07203519 820.88149829],[0.75311566 3.13298935],[   4.57302767 3729.78279517]
193,96,0,[  2.3298956 305.6582262],[   1.17608541 1131.56978776],[2.89553294e-04 1.43574192e+00],[4.63836812e+00 1.04813797e+04]
194,97,0,[  2.19174339 611.31111858],[1.39094424e+00 1.85070748e+03],[2.89553294e-04 1.65656268e+00],[5.83023733e+00 1.04813797e+04]
195,93,0,[  2.31828749 949.36505944],[1.55863301e+00 2.57572234e+03],[0.01195263 3.50126306],[8.46433050e+00 1.04813797e+04]
196,88,0,[   2.43636616 1074.34144844],[1.86503941e+00 2.74100815e+03],[0.01195263 6.05736947],[8.46433050e+00 1.04813797e+04]
197,95,0,[   2.46548648 1148.34729684],[1.97417981e+00 3.01358802e+03],[0.00745905 4.60990449],[8.46433050e+00 1.32986637e+04]
198,95,0,[   2.2991922  1588.24344293],[2.06309745e+00 3.51318326e+03],[1.71173717e-04 4.60990449e+00],[8.46433050e+00 1.32986637e+04]
199,95,0,[   2.32650328 1841.67922534],[2.28092897e+00 3.78974279e+03],[1.71173717e-04 4.60990449e+00],[8.46433050e+00 1.32986637e+04]
200,95,0,[1.89948029e+00 1.97350897e+03],[1.95226253e+00 3.87720785e+03],[0.00772921 5.97878178],[8.70604387e+00 1.52594894e+04]
201,98,1,[1.51478017e-01 1.98370703e+02],[ 10.12895508 209.9571358 ],[-100. -100.],[  5.73561598 979.85662506]
202,98,1,[  1.71297341 300.17484797],[  0.95858014 208.21460857],[0.30137118 3.35826483],[  5.73561598 979.85662506]
203,96,1,[  2.12300909 342.81734448],[  0.9543993  271.05446204],[0.50730707 3.35826483],[   6.52511451 1417.19545776]
204,99,1,[  2.24405208 389.0373389 ],[  1.09257625 303.97038834],[0.31211046 3.35826483],[   6.52511451 1417.19545776]
205,95,1,[  2.20799475 427.72418087],[  1.12283929 332.20629984],[ 0.14544328 13.33964034],[   6.52511451 1712.50462387]
206,95,1,[  2.14495494 466.0116951 ],[  1.07841812 379.96204543],[ 0.1432548  15.33725457],[   6.52511451 1837.19206589]
207,98,1,[  2.12986506 490.24140294],[  1.08953132 419.46910424],[ 0.1432548  15.33725457],[   6.52511451 1837.19206589]
208,97,1,[  2.16379114 532.08305061],[  1.14565805 528.33329363],[ 0.1432548  15.33725457],[   6.52511451 3234.26010441]
209,95,2,[  1.59085154 250.77393173],[  0.79644694 180.18485887],[ 0.08194939 13.40973637],[  4.90188834 842.09001356]
210,100,2,[  1.76020923 297.95473318],[  0.94134253 194.54050408],[ 0.04072834 14.64605865],[  4.90188834 842.09001356]
211,98,2,[  1.78686947 321.19195376],[  1.03405624 207.65387712],[ 0.08194939 19.08302145],[  4.90188834 842.09001356]
212,92,2,[  1.85449804 329.39067875],[  1.11535171 223.059639  ],[ 0.08194939 25.67223796],[  4.90188834 842.09001356]
213,98,2,[  1.73625991 362.91866883],[  1.06730068 219.78135072],[ 0.08194939 27.62434972],[  5.58419264 842.09001356]
214,95,2,[  1.90181258 333.265948  ],[  1.10361079 220.31866458],[ 0.08194939 28.54310169],[   5.58419264 1073.63028963]
215,99,2,[  1.98202734 316.0130589 ],[  1.0731878 206.6735012],[ 0.46337841 28.54310169],[   5.58419264 1073.63028963]
216,95,2,[  1.97991082 322.54563781],[  1.06952449 219.11142578],[ 0.46337841 34.84617294],[   5.69160798 1073.63028963]
